DEPOSITOR,DEPOSIT_ID,DEPOSIT_STATE,DOI,DEPOSIT_CREATION_TIMESTAMP,DEPOSIT_UPDATE_TIMESTAMP,DESCRIPTION
mendeleydata,9fa5939c-7372-48d9-9892-2a6f591ae2cc,ARCHIVED,10.17632/77fmkyb773.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74880
mendeleydata,a092e534-c70d-40de-9856-c4317851a940,ARCHIVED,10.17632/bwgd7cdmbc.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74851
mendeleydata,a14b05ce-1493-4139-85f3-3c498dbb59d1,ARCHIVED,10.17632/d72zr4xggx.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74954
mendeleydata,a427316a-5dff-4ffc-9b83-b3f5b9263500,ARCHIVED,10.17632/8ymmpmfvj9.1,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74991
mendeleydata,a50600a3-8c72-4445-b472-ad38f13e3218,ARCHIVED,10.17632/r8s5ttc8vw.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74961
mendeleydata,a94236c7-52c0-48f4-8169-84a47adb4036,ARCHIVED,10.17632/64xgshthw4.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74946
mendeleydata,ad54ff91-5f82-4eb1-bbf0-0a21a6eceb35,ARCHIVED,10.17632/x7gfnxk3m6.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74898
mendeleydata,ae13aac3-3eff-44ca-afa5-00f99fc2d6f6,ARCHIVED,10.17632/dv6nwfdzkv.5,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74853
mendeleydata,b03786c4-9863-48d9-8b81-6a074d92e172,ARCHIVED,10.17632/x5tswchgxm.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74984
mendeleydata,b23b4799-3c74-45c0-b8cd-031e56cc6c8e,ARCHIVED,10.17632/wmtzc7w3d7.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74920
